course number,course name,credits,prereqs,desc
ARCH 143,"Architecture and Society III",3.0,"ARCH 142 [Min Grade: C-]","Examines the evolution of Western architectural thought, form, space and structures in light of changing human values and institutions. Covers Western architecture and urbanism from the 16th C through the early 20th C. Also considered is the architecture of the Aztec and Inca empires, Islamic architecture and architecture and landscape designs of 16th C and 17th C Japan."
ARCH 144,"Architecture and Society IV",3.0,"ARCH 143 [Min Grade: C-]","Examines the evolution of architectural thought, form, space and structures in light of changing human values and institutions. Surveys the crucial buildings and thematic development of modern architecture and urbanism beginning in the late 19th C. through the mid-20th C."
ARCH 170,"Architectural Technology I",3.0,"PHYS 182 [Min Grade: C-] and (MATH 102 [Min Grade: C-] or MATH 183 [Min Grade: C-])","Introduction to the fundamental aspects of building technology with exposure to materials, structure and building systems that are frequently used in building construction. Provides a framework for the exploration of construction in the context of design."
ARCH 172,"Architectural Technology II",3.0,"ARCH 170 [Min Grade: C-]","Further exploration of materials, structure and building systems and their influence on passive systems and sustainable design principles. Begins the development of systematic thinking regarding architectural technology."
ARCH 173,"Architectural Technology III",3.0,"ARCH 172 [Min Grade: C-]","Introduction to the technical building analysis including the organizing principles for materials, structure and systems. Includes envelope assembly, thermal comfort, structural and passive building systems."
ARCH 181,"Architecture Studio 1A",4.0,"No Prereq","Introduces basic architectural design principles. Elementary concepts of space, surface and form will be explored in two and three dimensional abstract exercises. Exercises incorporate observational analysis and graphic skills."
ARCH 182,"Architecture Studio 1B",4.0,"ARCH 181 [Min Grade: C-]","Transitions from abstract design principles to simple architectural exercises, considering function, scale, user and ordering strategies in relation to form-making in three-dimensional space. Exercises heighten observation and graphic skills while developing an architectural vocabulary."
ARCH 183,"Architecture Studio 1C",4.0,"ARCH 182 [Min Grade: C-] or INTR 233 [Min Grade: C-]","Focuses on a series of basic architectural problems developed around issues of context and material use in relationship to the organization of space and human activity. Design exercises will cultivate the design process through developing a conceptual idea through graphic and oral communication."
ARCH 191,"Studio 1-AE",3.0,"No Prereq","Architectural engineering majors only. Covers basic design principles using three-dimensional abstract and applied projects. Exercises heighten observation skills."
ARCH 192,"Studio 2-AE",3.0,"ARCH 191 [Min Grade: D]","Architectural engineering majors only. Continues ARCH 191. Uses design exercises to emphasize the nature of function, structure, and material and their impact on the design process."
ARCH 211,"Architectural Representation I",2.0,"No Prereq","Introductory course that will provide a survey of drawing types with an emphasis on process and visual literacy."
ARCH 212,"Architectural Representation II",2.0,"ARCH 211 [Min Grade: C-]","Emphasis on craft and composition in the architectural representation of the built environment."
ARCH 213,"Architectural Representation III",2.0,"ARCH 212 [Min Grade: C-]","Exploration of digital representation with an emphasis on making combining process drawing, digital fabrication and analog craft to develop three-dimensional representation skills."
ARCH 221,"Materials & Methods I",1.5,"ARCH 183 [Min Grade: C-]","Introduction to the fundamental aspects of building technology with exposure to materials and methods that are frequently used in building construction. Provides a framework for the exploration of construction in the context of design."
ARCH 222,"Materials & Methods II",1.5,"ARCH 221 [Min Grade: C-]","Further exploration of materials, structure and building systems and their influence on passive systems and sustainable design principles. Begins the development of systematic thinking regarding architectural technology."
ARCH 223,"Materials & Methods III",1.5,"ARCH 222 [Min Grade: C-]","Introduction to technical building analysis including the organizing principles for materials, structure and systems. Includes envelope assembly, thermal comfort, structural and passive building systems."
ARCH 224,"Architectural Representation IV",2.0,"ARCH 213 [Min Grade: C-] and ARCH 183 [Min Grade: C-]","Emphasizes the communication of design through perspective, view-making and rendering. Through the use of digital and analog techniques, the ability to select the proper media to visually convey a design concept will be developed."
ARCH 225,"Architectural Representation V",2.0,"ARCH 224 [Min Grade: C-] and ARCH 281 [Min Grade: C-]","Emphasizes the tools to complete a final quality architectural presentation in a variety of venues including portfolios, digital representations and online media."
ARCH 226,"Architectural Representation VI",2.0,"ARCH 225 [Min Grade: C-] and ARCH 282 [Min Grade: C-]","Explores parametric thinking and the iterative design process while reinforcing critical skills in detailing and design development through various software programs."
ARCH 251,"Structural Systems I",1.5,"ARCH 183 [Min Grade: C-] and PHYS 182 [Min Grade: C-] and (MATH 102 [Min Grade: C-] or MATH 173 [Min Grade: C-] or MATH 183 [Min Grade: C-])","Introduction to the fundamental aspects of structural systems with exposure to materials and methods that are frequently used in building construction. Develops skills needed for structural integration in building design."
ARCH 252,"Structural Systems II",1.5,"ARCH 251 [Min Grade: C-]","Further introduction to the fundamental aspects of structural systems with exposure to materials and methods that are frequently used in building construction. Develops skills needed for structural integration in building design."
ARCH 253,"Structural Systems III",1.5,"ARCH 252 [Min Grade: C-]","Introduction and intermediate aspects of structural systems with exposure to materials and methods that are frequently used in building construction. Develops skills needed for structural integration in building design."
ARCH 274,"Architectural Technology IV",3.0,"ARCH 173 [Min Grade: C-] and PHYS 183 [Min Grade: C-]","Intermediate development of architectural technology with a focus on application of analysis of primary materials, structure and systems. Depth and range of analytical tools are addressed."
ARCH 275,"Architectural Technology V",3.0,"ARCH 274 [Min Grade: C-]","Further development of analytical skills for building technology. Case studies and real world precedents examine materials, structure and systems in the support of larger architectural objectives."
ARCH 276,"Architectural Technology VI",3.0,"ARCH 275 [Min Grade: C-]","Examination of technical analysis and design in support of iterative architectural concepts. Materials, structure and systems are utilized to develop strong design synergies."
ARCH 281,"Architecture Studio 2A",4.0,"ARCH 183 [Min Grade: C-] and (ARCH 213 [Min Grade: C-] or INTR 245 [Min Grade: C-])","Introduces issues of architectural form, site and programmatic concerns. Design exercises will explore simple issues of structure, building and material systems and sustainability."
ARCH 282,"Architecture Studio 2B",4.0,"((ARCH 221 [Min Grade: C-] and ARCH 251 [Min Grade: C-]) or ARCH 170 [Min Grade: C-] or INTR 351 [Min Grade: C-], ) and ARCH 281 [Min Grade: C-] and (ARCH 224 [Min Grade: C-] or INTR 341 [Min Grade: C-])","Covers architectural design problems of incremental complexity that emphasizes the nature of function, structure, and material and their impact on the design process."
ARCH 283,"Architecture Studio 2C",4.0,"((ARCH 222 [Min Grade: C-] and ARCH 252 [Min Grade: C-]) or ARCH 170 [Min Grade: C-]) and ARCH 282 [Min Grade: C-] and ARCH 225 [Min Grade: C-]","Explores architectural design problems that introduce the full range of challenges in the areas of organization, program, context, systems and formal expression."
ARCH 291,"Building Systems I",1.5,"ARCH 283 [Min Grade: C-] and PHYS 182 [Min Grade: C-] and (MATH 102 [Min Grade: C-] or MATH 173 [Min Grade: C-] or MATH 183 [Min Grade: C-])","Introduction to architectural technology with a focus on application of analysis pertaining to environmental systems within the context of building design."
ARCH 292,"Building Systems II",1.5,"ARCH 283 [Min Grade: C-] and PHYS 182 [Min Grade: C-] and (MATH 102 [Min Grade: C-] or MATH 173 [Min Grade: C-] or MATH 183 [Min Grade: C-])","Introduction to architectural technology with a focus on design impacts and analysis related to water within the context of building design."
ARCH 293,"Building Systems III",1.5,"ARCH 283 [Min Grade: C-] and PHYS 182 [Min Grade: C-] and (MATH 102 [Min Grade: C-] or MATH 173 [Min Grade: C-] or MATH 183 [Min Grade: C-])","Introduction to architectural technology with a focus on design impacts and analysis related to lighting within the context of building design."
ARCH 315,"Sustainable Built Environment I",3.0,"No Prereq","Provides an overview of contemporary sustainable design principles and systems involved to posit novel solutions to various design challenges. Combining theoretical knowledge, field trips and case studies enabling students to critically assess sustainability as it relates to the built environment through five key subsystems: materials, air, water, energy and life."
ARCH 320,"Sustainable Built Environment II",3.0,"ARCH 315 [Min Grade: C-]","Students will examine the work of scientists, designers, authors, artists, architects, engineers, planners, etc to gain a deeper conceptual understanding of current and emerging strategies in sustainability and the complex and integrated systems approach to the built environment in the present and near future."
ARCH 324,"Materials & Methods IV",1.5,"ARCH 173 [Min Grade: C-] or ARCH 223 [Min Grade: C-]","Advanced building technology concepts are explored through case studies and focused design examples. Materials, construction, methods, structure, systems and envelope are studied as integrated aspect of larger iterative design processes."
ARCH 325,"Materials & Methods V",1.5,"ARCH 324 [Min Grade: C-]","Further exploration of advanced building technology concepts through case studies and focused design examples. Materials, construction, methods, structure, systems and envelope are studied as integrated aspect of larger iterative design processes."
ARCH 326,"Materials & Methods VI",1.5,"ARCH 325 [Min Grade: C-]","Advanced integration of building technology concepts through design problems and examples. Materials, construction, methods, structure, systems and envelope are studied as integrated aspect of larger iterative design processes."
ARCH 335,"Professional Practice I",3.0,"ARCH 243 [Min Grade: C-] or ARCH 383 [Min Grade: C-]","This seminar is the first of a two-course sequence that introduces students to varying topics related to architectural practice in today's society. It addresses the following issues: Community and Social Responsibility, Leadership, Ethics & Professional Judgment, Client Role in Architecture, Basic Principles of Architectural Practice."
ARCH 336,"Professional Practice II",3.0,"ARCH 335 [Min Grade: C-]","This seminar is the second of a two-course sequence that introduces students to varying topics related to architectural practice in today’s society. It addresses the following issues: Practice Management, Project Management, Financial Considerations, Legal Responsibilities, Ethics & Professional Judgment."
ARCH 340,"American Architecture & Urbanism",3.0,"ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]","Surveys the development of American architecture and urbanism from its Native American origins through the arrival of early Modernism in the 1930s and 1940s. Writing Intensive."
ARCH 341   [WI],"Theories of Architecture I",3.0,"ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]","Seminar that examines theories and principles of Western architecture before 1700. History/theory elective. Fall. This is a writing intensive course."
ARCH 342   [WI],"Theories of Architecture II",3.0,"ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]","Continues ARCH 341. Seminar that examines theories and principles of Western architecture from the Baroque era of the 17th century to the beginning of Modernism in the 20th century. History/theory elective. Winter. This is a writing intensive course."
ARCH 343,"Theories of Architecture III",3.0,"ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]","Seminar that examines 20th-century theories of architecture, including analysis and discussion of current theoretical positions. History/theory elective. Spring."
ARCH 346   [WI],"History of Philadelphia Architecture",3.0,"ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]","Covers the architecture of the city of Philadelphia from 1682, examining its architects, styles, and sources through lectures, walking tours, and student reports. History/theory elective. Fall. Alternate years. This is a writing intensive course."
ARCH 347   [WI],"Intensive Architectural Studies",1.0-6.0,"ARCH 143 [Min Grade: C-] or INTR 200 [Min Grade: C-] or ARTH 103 [Min Grade: C-]","An intensive study tour of selected domestic and foreign destinations focusing on architecture and related design disciplines. Combines lecture, site visits, sketching and individual research. History/Theory Elective."
ARCH 348   [WI],"Studies in Vernacular Architecture",3.0,"ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]","A topical survey of world traditions of vernacular architecture, with emphasis on houses and dwelling environments. The survey topics include basics of shelter, construction methods, response to climate, patterns of settlement, social and economic organization, cultural expression, and methods of research and analysis."
ARCH 350,"Contemporary Architecture",3.0,"ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]","Survey and analysis of significant developments in architecture and urbanism over the past 50+ years. Writing Intensive."
ARCH 354,"Structural Systems IV",1.5,"ARCH 173 [Min Grade: C-] or ARCH 253 [Min Grade: C-]","Intermediate aspects of structural systems with exposure to materials and methods that are frequently used in building construction. Develops skills needed for structural integration in building design."
ARCH 355,"Structural Systems V",1.5,"ARCH 354 [Min Grade: C-]","Intermediate structural analysis for architectural design. Develops skills needed for structural integration in building design."
ARCH 356,"Structural Systems VI",1.5,"ARCH 355 [Min Grade: C-]","Intermediate structural analysis for architectural design with a focus on composite systems. Develops skills needed for structural integration in building design."
ARCH 361,"Studio 6-1",4.0,"ARCH 353 [Min Grade: D] and ARCH 263 [Min Grade: C-]","Introduces problems of urban design. Case studies demonstrate the relationship between the manmade environment and the natural environment as well as the relationship between many buildings and other manmade environments and the natural environment. Fall."
ARCH 362,"Studio 6-2",4.0,"ARCH 361 [Min Grade: D]","Continues ARCH 361. A large urban-design project is undertaken to learn the design process required to solve problems of such magnitude. Winter."
ARCH 363,"Studio 6-3",4.0,"ARCH 362 [Min Grade: D]","Continues ARCH 362. Requires students to develop architectural solutions for a portion of the problem addressed in Studio 6-2, demonstrating an understanding of the relationship between buildings and the exterior environment established in the previous course. Spring."
ARCH 377,"Architectural Technology VII",3.0,"ARCH 276 [Min Grade: C-]","Advanced building technology concepts are explored through case studies and focused design examples. Materials, construction, methods, structure, systems and envelope are studied as integrated aspect of larger iterative design processes."
ARCH 378,"Architectural Technology VIII",3.0,"ARCH 377 [Min Grade: C-]","Building technology and analysis are explored through design precedents and sketch problems to develop integrated design and analytical skills. Focuses on large and small scale elements that can become generative and performative aspects of major design decisions."
ARCH 379,"Architectural Technology IX",3.0,"ARCH 378 [Min Grade: C-]","Advanced building technology design and analysis is utilized in iterative and integrated design methods to support comprehensive design processes. Materials, structure and systems are developed qualitatively and quantitatively through design and analysis exercises."
ARCH 381,"Architecture Studio 3A",4.0,"ARCH 283 [Min Grade: C] and ARCH 226 [Min Grade: C] and ARCH 223 [Min Grade: C] and ARCH 253 [Min Grade: C]","Investigates the design relationship between man-made and the natural environment. Cultivates advanced analysis methods and the development of informed and resolved design solutions."
ARCH 382,"Architecture Studio 3B",4.0,"ARCH 381 [Min Grade: C-] and ARCH 274 [Min Grade: C-] or (ARCH 291 [Min Grade: C-] and ARCH 354 [Min Grade: C-])","Studies the relationship between building, site and context. Architectural design problems emphasize concept development that translates careful analysis into the building ideas with a progressing understanding of architectural concerns."
ARCH 383,"Architecture Studio 3C",4.0,"ARCH 382 [Min Grade: C-] and ARCH 275 [Min Grade: C-] or (ARCH 292 [Min Grade: C-] and ARCH 355 [Min Grade: C-])","Focuses on architectural problems with intermediate complexity. Integrates issues of context, site, program, function, and architectural systems into advanced design proposals."
ARCH 394,"Building Systems IV",1.5,"ARCH 291 [Min Grade: C-]","Intermediate study of architectural technology with a focus on design impacts and analysis related to mechanical systems within the context of building design."
ARCH 395,"Building Systems V",1.5,"ARCH 394 [Min Grade: C-]","Intermediate study of architectural technology with a focus on design impacts and analysis related to acoustical design and energy consumption within the context of building design."
ARCH 396,"Building Systems VI",1.5,"ARCH 293 [Min Grade: C-]","Intermediate study of architectural technology with a focus on design impacts and analysis related to lighting and electrical systems within the context of building design."
ARCH 421   [WI],"Environmental Psychology and Design Theory",3.0,"ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]","Examines the relationship between human behavior and architecture from the perspective of environmental psychology. Topics include aesthetics, environmental experience, social interaction, social organization, and culture. This is a writing intensive course. History/Theory Elective."
ARCH 431   [WI],"Architectural Programming",3.0,"ARCH 353 [Min Grade: C-] or ARCH 483 [Min Grade: C-]","Introduces current techniques of building programming and their relationship to building design. This is a writing intensive course."
ARCH 432,"The Development Process",3.0,"No Prereq","Introduces the process of land development. Explores traditional and emerging development models (the architect as the equity participant and developer) in relation to new construction and rehabilitation. Covers various methods of initiating building projects and financing and tax issues. Professional elective. Spring."
ARCH 441,"Urban Design Seminar",3.0,"ARCH 143 [Min Grade: C-] or ARCH 144 [Min Grade: C-]","Expands the concept of architecture to urban design scale and presents the principles of city planning through a series of case studies. History/Theory Elective."
ARCH 451,"Advanced Drawing",3.0,"ARCH 226 [Min Grade: C-] or INTR 341 [Min Grade: C-]","Covers advanced architectural rendering, concentrating on the effects of light, shade, and color using the techniques of water-color rendering. Professional elective. Spring."
ARCH 455,"Computer Applications in Architecture",3.0,"ARCH 226 [Min Grade: C-]","Covers two-dimensional and three-dimensional computer representations and applications. Professional elective."
ARCH 463,"Emerging Architectural Technology",3.0,"ARCH 161 [Min Grade: C-] or ARCH 173 [Min Grade: C-] or ARCH 253 [Min Grade: C-]","A holistic study of design and construction technology of significant buildings by leading architects."
ARCH 464,"Building Enclosure Design",3.0,"or ARCH 173 [Min Grade: C-] or ARCH 253 [Min Grade: C-]","Examines the integrations of aesthetics, building science, and technology in the design of building enclosures. Professional Elective. Summer."
ARCH 465,"Energy and Architecture",3.0,"ARCH 173 [Min Grade: C-] or ARCH 253 [Min Grade: C-]","Creates an awareness of the availability of energy resources and their effect on the built environment. Discusses alternative sources of energy. Professional elective. Summer."
ARCH 466,"The Architectural Detail",3.0,"(ARCH 326 [Min Grade: C-] or ARCH 379 [Min Grade: C-] or INTR 350 [Min Grade: C-] or INTR 674 [Min Grade: C-])","This seminar will explore architectural detail as a key to understanding of the craft and intrinsic nature of time, technology and cultural importance of the building."
ARCH 481,"Architecture Studio 4A",4.0,"ARCH 383 [Min Grade: C-] and ARCH 276 [Min Grade: C-] or (ARCH 356 [Min Grade: C-] and ARCH 293 [Min Grade: C-])","Focuses on more complex architectural challenges through analysis of case studies that address the relationship between the man-made built environment and the natural environment."
